"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"PublishingHouse";"LitPrizeName";"Nomination";"global_id";
"Êîä";"Ãîä íîìèíèðîâàíèÿ";"Íàèìåíîâàíèå";"Àâòîð";"Ãîä èçäàíèÿ";"Âîçðàñòíîå îãðàíè÷åíèå";"Èçäàòåëüñòâî";"Íàèìåíîâàíèå ëèòåðàòóðíîé ïðåìèè";"Íîìèíàöèÿ";"global_id";
"290";"2021";"Õèìåðû â ëåñàõ ñõîëàñòèêè. Ens rationis è îáúåêòèâíîå áûòèå";"Ãàëèíà Âäîâèíà";"2020";"0+";"ÑÏáÄÀ";"Ïðåìèÿ Àëåêñàíäðà Ïÿòèãîðñêîãî";"Øîðò-ëèñò";"2391862947";
"291";"2021";"Ïåðâîå ïóòåøåñòâèå ìàëåíüêîãî ÷åìîäàí÷èêà";"Ìàðèíà Àðîìøòàì";"2019";"6+";"Âðåìÿ";"Ïðåìèÿ èì. Ê. ×óêîâñêîãî";"Ëó÷øåå ïðîèçâåäåíèå â ïðîçå äëÿ äåòåé â âîçðàñòå äî 7 ëåò";"2391862960";
"292";"2021";"Â ãîëîâå öâåòíûå ìûñëè";"Àíàñòàñèÿ Îðëîâà";"2020";"0+";"Âðåìÿ";"Ïðåìèÿ èì. Ê. ×óêîâñêîãî";"Ëó÷øèé ïîýòè÷åñêèé ñáîðíèê äëÿ äåòåé â âîçðàñòå äî 7 ëåò";"2391862968";
"293";"2021";"Ôèçèêà Òóçèêà";"Àëåêñåé Çàéöåâ";"2020";"0+";"Ñàìîêàò";"Ïðåìèÿ èì. Ê. ×óêîâñêîãî";"Ëó÷øèé ïîýòè÷åñêèé ñáîðíèê äëÿ äåòåé â âîçðàñòå îò 8 äî 12 ëåò";"2391862978";
"294";"2021";"Ôðàíöóçñêàÿ ðåâîëþöèÿ";"Áîâûêèí Äìèòðèé ×óäèíîâ Àëåêñàíäð";"2020";"12+";"Àëüïèíà";"Ïðîñâåòèòåëü";"Ãóìàíèòàðíûå íàóêè (øîðò)";"2391862991";
"295";"2021";"Ïðîêëÿòûå ýêîíîìèêè";"Ìîâ÷àí Àíäðåé Ìèòðîâ Àëåêñåé";"2021";"12+";"ÀÑÒ";"Ïðîñâåòèòåëü";"Ãóìàíèòàðíûå íàóêè (øîðò)";"2391863005";
"296";"2021";"Èñòîðèÿ ñìåðòè. Êàê ìû áîðåìñÿ è ïðèíèìàåì";"Ñåðãåé Ìîõîâ";"2020";"18+";"Èíäèâèäóóì";"Ïðîñâåòèòåëü";"Ãóìàíèòàðíûå íàóêè (øîðò)";"2391863019";
"297";"2021";"Êîëëåêöèîíåð æèçíåé. Äæîðäæî Âàçàðè è èçîáðåòåíèå èñêóññòâà";"Èíãðèä Ðîëàíä Íîé ×àðíè";"2018";"0+";"ÌÈÔ";"Ïðîñâåòèòåëü";"Ãóìàíèòàðíûå íàóêè. Ïåðåâîä (øîðò)";"2391863027";
"298";"2021";"Òî÷íîå ìûøëåíèå â áåçóìíûå âðåìåíà. Âåíñêèé êðóæîê è êðåñòîâûé ïîõîä çà îñíîâàíèÿìè íàóêè";"Êàðë Çèãìóíä";"2021";"16+";"ÀÑÒ";"Ïðîñâåòèòåëü";"Ãóìàíèòàðíûå íàóêè. Ïåðåâîä (øîðò)";"2391863028";
"299";"2021";"Ñîçäàíèå àòîìíîé áîìáû";"Ðè÷àðä Ðîóäñ";"2020";"18+";"Àçáóêà";"Ïðîñâåòèòåëü";"Ãóìàíèòàðíûå íàóêè. Ïåðåâîä (øîðò)";"2391863029";
"300";"2021";"Àðàáû. Èñòîðèÿ. XVI–XXI ââ.";"Þäæèí Ðîãàí";"2019";"16+";"Àëüïèíà";"Ïðîñâåòèòåëü";"Ãóìàíèòàðíûå íàóêè. Ïåðåâîä (øîðò)";"2391863030";
"301";"2021";"Åâàíãåëèå îò LUCA. Â ïîèñêàõ ðîäîñëîâíîé æèâîòíîãî ìèðà";"Ìàêñèì Âèíàðñêèé";"2021";"0+";"Àëüïèíà";"Ïðîñâåòèòåëü";"Åñòåññòâåííûå íàóêè (øîðò)";"2391863031";
"302";"2021";"Ìàÿòíèê ñíà";"Âëàäèìèð Êîâàëüçîí";"2021";"12+";"Äèñêóðñ";"Ïðîñâåòèòåëü";"Åñòåññòâåííûå íàóêè (øîðò)";"2391863032";
"303";"2021";"Ñòðåññ, áîëü è îïèîèäû. Îá ýíäîðôèíàõ è íå òîëüêî";"Ñåðãåé Ïàðèí";"2021";"12+";"Äèñêóðñ";"Ïðîñâåòèòåëü";"Åñòåññòâåííûå íàóêè (øîðò)";"2391863065";
"304";"2021";"Âèðóñ, êîòîðûé ñëîìàë ïëàíåòó. Ïî÷åìó SARS-CoV-2 òàêîé îñîáåííûé è ÷òî íàì ñ íèì äåëàòü";"Èðèíà ßêóòåíêî";"2021";"0+";"Àëüïèíà";"Ïðîñâåòèòåëü";"Åñòåññòâåííûå íàóêè (øîðò)";"2391863176";
"305";"2021";"Ìàòåìàòèêà ñ äóðàöêèìè ðèñóíêàìè. Èäåè, êîòîðûå ôîðìèðóþò íàøó ðåàëüíîñòü";"Áåí Îðëèí";"2020";"12+";"Àëüïèíà";"Ïðîñâåòèòåëü";"Åñòåññòâåííûå íàóêè. Ïåðåâîä (øîðò)";"2391863273";
"306";"2021";"Îíà ñìååòñÿ, êàê ìàòü. Ìîãóùåñòâî è ïðè÷óäû íàñëåäñòâåííîñòè";"Êàðë Öèììåð";"2020";"16+";"Àëüïèíà";"Ïðîñâåòèòåëü";"Åñòåññòâåííûå íàóêè. Ïåðåâîä (øîðò)";"2391863274";
"307";"2021";"Õèìèÿ íàâñåãäà. Î ãîðîõîâîì ñóïå, îïàñíîñòè óòðåííåãî êîôå è ïðîáå ìèñòåðà Ìàðøà";"Ëàðñ Îðñòð¸ì";"2021";"16+";"Àçáóêà";"Ïðîñâåòèòåëü";"Åñòåññòâåííûå íàóêè. Ïåðåâîä (øîðò)";"2391863275";
"308";"2021";"Ðåêà, âûõîäÿùàÿ èç Ýäåìà. Æèçíü ñ òî÷êè çðåíèÿ äàðâèíèñòà";"Ðè÷àðä Äîêèíç";"2020";"12+";"ÀÑÒ";"Ïðîñâåòèòåëü";"Åñòåññòâåííûå íàóêè. Ïåðåâîä (øîðò)";"2391863276";
"309";"2021";"Æåíñêèå óáåæäåíèÿ";"Ìåã Âóëèöåð";"2021";"16+";"Ëàéâáóê";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà Ëîíã-ëèñò";"2391863277";
"310";"2021";"Ñëàâà";"Äàíèýëü Êåëüìàí";"2018";"16+";"ÀÑÒ";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà Ëîíã-ëèñò";"2391863278";
"311";"2021";"Íàéòè âèíîâàòîãî";"Äæåôôðè Åâãåíèäèñ";"2019";"16+";"Ðèïîë-Êëàññèê";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà Ëîíã-ëèñò";"2391863279";
"312";"2021";"Å¸ òåëî è äðóãèå";"Êàðìåí Ìàðèÿ Ìà÷àäî";"2020";"18+";"ÌÈÔ";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà Ëîíã-ëèñò";"2391863280";
"313";"2021";"Ìîÿ òåìíàÿ Âàíåññà";"Êåéò Ýëèçàáåò Ðàññåëë";"2021";"18+";"Ñèíäáàä";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà Ëîíã-ëèñò";"2391863281";
"314";"2021";"Ëÿãóøêè";"Ìî ßíü";"2021";"16+";"Ýêñìî";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà Ëîíã-ëèñò";"2391863282";
"315";"2021";"Ðàçãîâîðû ñ äðóçüÿìè";"Ñàëëè Ðóíè";"2021";"16+";"Ñèíäáàä";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà Ëîíã-ëèñò";"2391863283";
"316";"2021";"Êîêîí";"×æàí Þýæàíü";"2021";"18+";"Ôàíòîì Ïðåññ";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà Ëîíã-ëèñò";"2391863284";
"317";"2021";"Ãîòñêèå ïèñüìà";"Ãåðìàí Ñàäóëàåâ";"2021";"16+";"Ëèìáóñ ïðåññ";"ßñíàÿ ïîëÿíà";"Ðóññêàÿ ëèòåðàòóðà Øîðò-ëèñò";"2391863285";
"318";"2021";"Æèçíåîïèñàíèå Ëüâà";"Íàòàëèÿ Ðåïèíà";"2021";"16+";"Ýêñìî";"ßñíàÿ ïîëÿíà";"Ðóññêàÿ ëèòåðàòóðà Øîðò-ëèñò";"2391863286";
